Depth,Height,Column,Block
0,0,0,wotr:processor_block_3
1,0,0,minecraft:cobblestone
2,0,0,minecraft:rooted_dirt
3,0,0,minecraft:dripstone_block
4,0,0,minecraft:cracked_stone_bricks
0,0,1,minecraft:quartz_pillar
1,0,1,minecraft:stripped_jungle_log
2,0,1,minecraft:stripped_jungle_wood
0,0,2,wotr:processor_block_3_slab
1,0,2,minecraft:cobblestone_slab
0,0,3,wotr:processor_block_3_stairs
1,0,3,minecraft:cobblestone_stairs
0,0,4,wotr:processor_block_3_wall
1,0,4,minecraft:cobblestone_wall
0,0,5,wotr:processor_block_3_button
1,0,5,minecraft:jungle_button
0,0,6,wotr:processor_block_3_pressure_plate
1,0,6,minecraft:jungle_pressure_plate
0,0,7,wotr:processor_block_3_fence
1,0,7,minecraft:jungle_fence
0,0,8,wotr:processor_block_3_fence_gate
1,0,8,minecraft:jungle_fence_gate
0,0,9,minecraft:iron_bars
1,0,9,minecraft:iron_bars
0,0,10,minecraft:oak_door
1,0,10,minecraft:jungle_door
0,0,11,wotr:processor_block_3_trapdoor
1,0,11,minecraft:jungle_trapdoor
2,1,0,minecraft:rooted_dirt
3,1,0,minecraft:dripstone_block
0,1,10,minecraft:oak_door
1,1,10,minecraft:jungle_door
