Depth,Height,Column,Block
0,0,0,wotr:processor_block_7
1,0,0,minecraft:deepslate_bricks
2,0,0,minecraft:cracked_stone_bricks
3,0,0,minecraft:cracked_deepslate_bricks
4,0,0,minecraft:deepslate_tiles
0,0,1,wotr:processor_block_7_directional_pillar
1,0,1,minecraft:polished_basalt
2,0,1,minecraft:deepslate
0,0,2,wotr:processor_block_7_slab
1,0,2,minecraft:deepslate_brick_slab
0,0,3,wotr:processor_block_7_stairs
1,0,3,minecraft:deepslate_brick_stairs
0,0,4,wotr:processor_block_7_wall
1,0,4,minecraft:deepslate_brick_wall
2,0,4,minecraft:cobbled_deepslate_wall
3,0,4,minecraft:stone_brick_wall
0,0,5,wotr:processor_block_7_button
1,0,5,minecraft:stone_button
0,0,6,wotr:processor_block_7_pressure_plate
1,0,6,minecraft:stone_pressure_plate
0,0,7,wotr:processor_block_7_fence
1,0,7,minecraft:pale_oak_fence
0,0,8,wotr:processor_block_7_fence_gate
1,0,8,minecraft:pale_oak_fence_gate
0,0,9,wotr:processor_block_7_glass_pane
1,0,9,minecraft:iron_bars
0,0,10,wotr:processor_block_7_glass
1,0,10,minecraft:glass
0,0,11,wotr:processor_block_7_trapdoor
1,0,11,minecraft:waxed_weathered_copper_trapdoor
2,1,0,minecraft:cracked_stone_bricks
1,1,1,minecraft:polished_basalt
