Depth,Height,Column,Block
0,0,0,wotr:processor_block_6
1,0,0,minecraft:oak_planks
2,0,0,minecraft:spruce_planks
3,0,0,minecraft:bedrock
0,0,1,wotr:processor_block_6_directional_pillar
1,0,1,minecraft:stripped_oak_wood
3,0,1,minecraft:bedrock
0,0,2,wotr:processor_block_6_slab
1,0,2,minecraft:oak_slab
2,0,2,minecraft:spruce_slab
3,0,2,minecraft:bedrock
0,0,3,wotr:processor_block_6_stairs
1,0,3,minecraft:oak_stairs
2,0,3,minecraft:spruce_stairs
3,0,3,minecraft:bedrock
0,0,4,wotr:processor_block_6_wall
1,0,4,minecraft:cobblestone_wall
3,0,4,minecraft:bedrock
0,0,5,wotr:processor_block_6_button
1,0,5,minecraft:oak_button
2,0,5,minecraft:spruce_button
3,0,5,minecraft:bedrock
0,0,6,wotr:processor_block_6_pressure_plate
1,0,6,minecraft:oak_pressure_plate
2,0,6,minecraft:spruce_pressure_plate
3,0,6,minecraft:bedrock
0,0,7,wotr:processor_block_6_fence
1,0,7,minecraft:oak_fence
2,0,7,minecraft:spruce_fence
3,0,7,minecraft:bedrock
0,0,8,wotr:processor_block_6_fence_gate
1,0,8,minecraft:oak_fence_gate
3,0,8,minecraft:bedrock
0,0,9,wotr:processor_block_6_glass_pane
1,0,9,minecraft:iron_bars
3,0,9,minecraft:bedrock
0,0,10,wotr:processor_block_6_door
1,0,10,minecraft:oak_door
3,0,10,minecraft:bedrock
0,1,10,minecraft:oak_door
1,1,10,minecraft:oak_door
0,0,11,wotr:processor_block_6_trapdoor
1,0,11,minecraft:oak_trapdoor
2,0,11,minecraft:spruce_trapdoor
3,0,11,minecraft:bedrock
3,1,11,minecraft:bedrock
