Depth,Height,Column,Block
0,0,0,wotr:processor_block_4
1,0,0,minecraft:cobbled_deepslate
2,0,0,minecraft:tuff
3,0,0,minecraft:deepslate
4,0,0,minecraft:bedrock
2,1,0,minecraft:tuff
0,0,1,wotr:processor_block_4_directional_pillar
1,0,1,minecraft:deepslate
4,0,1,minecraft:bedrock
0,0,2,wotr:processor_block_4_slab
1,0,2,minecraft:tuff_slab
4,0,2,minecraft:bedrock
0,0,3,wotr:processor_block_4_stairs
1,0,3,minecraft:tuff_stairs
4,0,3,minecraft:bedrock
0,0,4,wotr:processor_block_4_wall
1,0,4,minecraft:tuff_wall
4,0,4,minecraft:bedrock
0,0,5,wotr:processor_block_4_button
1,0,5,minecraft:warped_button
4,0,5,minecraft:bedrock
0,0,6,wotr:processor_block_4_pressure_plate
1,0,6,minecraft:warped_pressure_plate
4,0,6,minecraft:bedrock
0,0,7,wotr:processor_block_4_fence
1,0,7,minecraft:warped_fence
4,0,7,minecraft:bedrock
0,0,8,wotr:processor_block_4_fence_gate
1,0,8,minecraft:warped_fence_gate
4,0,8,minecraft:bedrock
0,0,9,wotr:processor_block_4_glass_pane
1,0,9,minecraft:iron_bars
4,0,9,minecraft:bedrock
0,0,10,wotr:processor_block_4_door
1,0,10,minecraft:warped_door
4,0,10,minecraft:bedrock
0,1,10,minecraft:oak_door
1,1,10,minecraft:warped_door
0,0,11,wotr:processor_block_4_trapdoor
1,0,11,minecraft:warped_trapdoor
4,0,11,minecraft:bedrock
4,1,11,minecraft:bedrock
