Depth,Height,Column,Block
0,0,0,wotr:processor_block_8
1,0,0,minecraft:rooted_dirt
2,0,0,minecraft:light_gray_terracotta
3,0,0,minecraft:stripped_jungle_wood
4,0,0,minecraft:dripstone_block
5,0,0,minecraft:bedrock
2,1,0,minecraft:light_gray_terracotta
4,1,0,minecraft:dripstone_block
4,2,0,minecraft:dripstone_block
0,0,1,wotr:processor_block_8_directional_pillar
1,0,1,minecraft:stripped_jungle_wood
5,0,1,minecraft:bedrock
0,0,2,wotr:processor_block_8_slab
1,0,2,minecraft:jungle_slab
5,0,2,minecraft:bedrock
0,0,3,wotr:processor_block_8_stairs
1,0,3,minecraft:jungle_stairs
5,0,3,minecraft:bedrock
0,0,4,wotr:processor_block_8_wall
1,0,4,minecraft:mud_brick_wall
5,0,4,minecraft:bedrock
0,0,5,wotr:processor_block_8_button
1,0,5,minecraft:jungle_button
5,0,5,minecraft:bedrock
0,0,6,wotr:processor_block_8_pressure_plate
1,0,6,minecraft:jungle_pressure_plate
5,0,6,minecraft:bedrock
0,0,7,wotr:processor_block_8_fence
1,0,7,minecraft:jungle_fence
5,0,7,minecraft:bedrock
0,0,8,wotr:processor_block_8_fence_gate
1,0,8,minecraft:jungle_fence_gate
5,0,8,minecraft:bedrock
0,0,9,wotr:processor_block_8_glass_pane
1,0,9,minecraft:iron_bars
5,0,9,minecraft:bedrock
0,0,10,wotr:processor_block_8_door
1,0,10,minecraft:jungle_door
5,0,10,minecraft:bedrock
0,1,10,minecraft:oak_door
1,1,10,minecraft:jungle_door
0,0,11,wotr:processor_block_8_trapdoor
1,0,11,minecraft:jungle_trapdoor
5,0,11,minecraft:bedrock
5,1,11,minecraft:bedrock
5,2,11,minecraft:bedrock
