Depth,Height,Column,Block
0,0,0,wotr:processor_block_2
1,0,0,minecraft:brown_mushroom_block
2,0,0,minecraft:packed_mud
3,0,0,minecraft:granite
4,0,0,minecraft:mud_bricks
5,0,0,minecraft:bedrock
2,1,0,minecraft:packed_mud
3,1,0,minecraft:granite
5,1,0,minecraft:bedrock
2,2,0,minecraft:packed_mud
5,2,0,minecraft:bedrock
0,0,1,wotr:processor_block_2_directional_pillar
1,0,1,minecraft:stripped_jungle_log
2,0,1,minecraft:bedrock
0,0,2,wotr:processor_block_2_slab
1,0,2,minecraft:mud_brick_slab
2,0,2,minecraft:jungle_slab
3,0,2,minecraft:granite_slab
4,0,2,minecraft:bedrock
0,0,3,wotr:processor_block_2_stairs
1,0,3,minecraft:mud_brick_stairs
2,0,3,minecraft:jungle_stairs
3,0,3,minecraft:bedrock
0,0,4,wotr:processor_block_2_wall
1,0,4,minecraft:mud_brick_wall
2,0,4,minecraft:bedrock
0,0,5,wotr:processor_block_2_button
1,0,5,minecraft:acacia_button
2,0,5,minecraft:bedrock
0,0,6,wotr:processor_block_2_pressure_plate
1,0,6,minecraft:acacia_pressure_plate
2,0,6,minecraft:bedrock
0,0,7,wotr:processor_block_2_fence
1,0,7,minecraft:acacia_fence
2,0,7,minecraft:bedrock
0,0,8,wotr:processor_block_2_fence_gate
1,0,8,minecraft:acacia_fence_gate
2,0,8,minecraft:bedrock
0,0,9,wotr:processor_block_2_glass_pane
1,0,9,minecraft:iron_bars
2,0,9,minecraft:bedrock
0,0,10,wotr:processor_block_2_door
1,0,10,minecraft:oak_door
2,0,10,minecraft:bedrock
0,1,10,minecraft:oak_door
1,1,10,minecraft:oak_door
0,0,11,wotr:processor_block_2_trapdoor
1,0,11,minecraft:oak_trapdoor
2,0,11,minecraft:bedrock
