Column,ProcessorType,BlockWeights
0,wotr:processor_block_3,"{""minecraft:cobblestone"": 0.143, ""minecraft:rooted_dirt"": 0.286, ""minecraft:dripstone_block"": 0.285, ""minecraft:cracked_stone_bricks"": 0.143, ""minecraft:bedrock"": 0.143}"
1,wotr:processor_block_3_directional_pillar,"{""minecraft:stripped_jungle_log"": 0.333, ""minecraft:stripped_jungle_wood"": 0.333, ""minecraft:bedrock"": 0.334}"
2,wotr:processor_block_3_slab,"{""minecraft:cobblestone_slab"": 0.5, ""minecraft:bedrock"": 0.5}"
3,wotr:processor_block_3_stairs,"{""minecraft:cobblestone_stairs"": 0.5, ""minecraft:bedrock"": 0.5}"
4,wotr:processor_block_3_wall,"{""minecraft:cobblestone_wall"": 0.5, ""minecraft:bedrock"": 0.5}"
5,wotr:processor_block_3_button,"{""minecraft:jungle_button"": 0.5, ""minecraft:bedrock"": 0.5}"
6,wotr:processor_block_3_pressure_plate,"{""minecraft:jungle_pressure_plate"": 0.5, ""minecraft:bedrock"": 0.5}"
7,wotr:processor_block_3_fence,"{""minecraft:jungle_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
8,wotr:processor_block_3_fence_gate,"{""minecraft:jungle_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_3_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_3_door,"{""minecraft:jungle_door"": 0.5, ""minecraft:bedrock"": 0.25, ""minecraft:oak_door"": 0.25}"
11,wotr:processor_block_3_trapdoor,"{""minecraft:jungle_trapdoor"": 0.333, ""minecraft:bedrock"": 0.667}"
