Column,ProcessorType,BlockWeights
0,wotr:processor_block_7,"{""minecraft:bricks"": 0.333, ""minecraft:cracked_stone_bricks"": 0.333, ""minecraft:bedrock"": 0.334}"
1,wotr:processor_block_7_directional_pillar,"{""minecraft:chiseled_stone_bricks"": 0.5, ""minecraft:bedrock"": 0.5}"
2,wotr:processor_block_7_slab,"{""minecraft:brick_slab"": 0.5, ""minecraft:bedrock"": 0.5}"
3,wotr:processor_block_7_stairs,"{""minecraft:brick_stairs"": 0.5, ""minecraft:bedrock"": 0.5}"
4,wotr:processor_block_7_wall,"{""minecraft:brick_wall"": 0.333, ""minecraft:stone_brick_wall"": 0.333, ""minecraft:bedrock"": 0.334}"
5,wotr:processor_block_7_button,"{""minecraft:stone_button"": 0.5, ""minecraft:bedrock"": 0.5}"
6,wotr:processor_block_7_pressure_plate,"{""minecraft:stone_pressure_plate"": 0.5, ""minecraft:bedrock"": 0.5}"
7,wotr:processor_block_7_fence,"{""minecraft:pale_oak_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
8,wotr:processor_block_7_fence_gate,"{""minecraft:pale_oak_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_7_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_7_door,"{""minecraft:waxed_weathered_copper_door"": 0.5, ""minecraft:bedrock"": 0.25, ""minecraft:oak_door"": 0.25}"
11,wotr:processor_block_7_trapdoor,"{""minecraft:waxed_weathered_copper_trapdoor"": 0.333, ""minecraft:bedrock"": 0.667}"
