Column,ProcessorType,BlockWeights
0,wotr:processor_block_6,"{""minecraft:oak_planks"": 0.333, ""minecraft:spruce_planks"": 0.333, ""minecraft:bedrock"": 0.334}"
1,wotr:processor_block_6_directional_pillar,"{""minecraft:stripped_oak_wood"": 0.5, ""minecraft:bedrock"": 0.5}"
2,wotr:processor_block_6_slab,"{""minecraft:oak_slab"": 0.333, ""minecraft:spruce_slab"": 0.333, ""minecraft:bedrock"": 0.334}"
3,wotr:processor_block_6_stairs,"{""minecraft:oak_stairs"": 0.333, ""minecraft:spruce_stairs"": 0.333, ""minecraft:bedrock"": 0.334}"
4,wotr:processor_block_6_wall,"{""minecraft:cobblestone_wall"": 0.5, ""minecraft:bedrock"": 0.5}"
5,wotr:processor_block_6_button,"{""minecraft:oak_button"": 0.333, ""minecraft:spruce_button"": 0.333, ""minecraft:bedrock"": 0.334}"
6,wotr:processor_block_6_pressure_plate,"{""minecraft:oak_pressure_plate"": 0.333, ""minecraft:spruce_pressure_plate"": 0.333, ""minecraft:bedrock"": 0.334}"
7,wotr:processor_block_6_fence,"{""minecraft:oak_fence"": 0.333, ""minecraft:spruce_fence"": 0.333, ""minecraft:bedrock"": 0.334}"
8,wotr:processor_block_6_fence_gate,"{""minecraft:oak_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_6_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_6_door,"{""minecraft:oak_door"": 0.75, ""minecraft:bedrock"": 0.25}"
11,wotr:processor_block_6_trapdoor,"{""minecraft:oak_trapdoor"": 0.25, ""minecraft:spruce_trapdoor"": 0.25, ""minecraft:bedrock"": 0.5}"
