Column,ProcessorType,BlockWeights
0,wotr:processor_block_8,"{""minecraft:rooted_dirt"": 0.125, ""minecraft:light_gray_terracotta"": 0.25, ""minecraft:stripped_jungle_wood"": 0.125, ""minecraft:dripstone_block"": 0.375, ""minecraft:bedrock"": 0.125}"
1,wotr:processor_block_8_directional_pillar,"{""minecraft:stripped_jungle_wood"": 0.5, ""minecraft:bedrock"": 0.5}"
2,wotr:processor_block_8_slab,"{""minecraft:jungle_slab"": 0.5, ""minecraft:bedrock"": 0.5}"
3,wotr:processor_block_8_stairs,"{""minecraft:jungle_stairs"": 0.5, ""minecraft:bedrock"": 0.5}"
4,wotr:processor_block_8_wall,"{""minecraft:mud_brick_wall"": 0.5, ""minecraft:bedrock"": 0.5}"
5,wotr:processor_block_8_button,"{""minecraft:jungle_button"": 0.5, ""minecraft:bedrock"": 0.5}"
6,wotr:processor_block_8_pressure_plate,"{""minecraft:jungle_pressure_plate"": 0.5, ""minecraft:bedrock"": 0.5}"
7,wotr:processor_block_8_fence,"{""minecraft:jungle_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
8,wotr:processor_block_8_fence_gate,"{""minecraft:jungle_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_8_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_8_door,"{""minecraft:jungle_door"": 0.5, ""minecraft:bedrock"": 0.25, ""minecraft:oak_door"": 0.25}"
11,wotr:processor_block_8_trapdoor,"{""minecraft:jungle_trapdoor"": 0.25, ""minecraft:bedrock"": 0.75}"
