Column,ProcessorType,BlockWeights
0,wotr:processor_block_5,"{""minecraft:cobbled_deepslate"": 0.125, ""minecraft:mud"": 0.25, ""minecraft:muddy_mangrove_roots"": 0.25, ""minecraft:jungle_wood"": 0.125, ""minecraft:stripped_spruce_wood"": 0.125, ""minecraft:bedrock"": 0.125}"
1,wotr:processor_block_5_directional_pillar,"{""minecraft:jungle_wood"": 0.333, ""minecraft:muddy_mangrove_roots"": 0.333, ""minecraft:bedrock"": 0.334}"
2,wotr:processor_block_5_slab,"{""minecraft:cobbled_deepslate_slab"": 0.333, ""minecraft:tuff_slab"": 0.333, ""minecraft:bedrock"": 0.334}"
3,wotr:processor_block_5_stairs,"{""minecraft:cobbled_deepslate_stairs"": 0.333, ""minecraft:tuff_stairs"": 0.333, ""minecraft:bedrock"": 0.334}"
4,wotr:processor_block_5_wall,"{""minecraft:cobbled_deepslate_wall"": 0.333, ""minecraft:tuff_wall"": 0.333, ""minecraft:bedrock"": 0.334}"
5,wotr:processor_block_5_button,"{""minecraft:dark_oak_button"": 0.5, ""minecraft:bedrock"": 0.5}"
6,wotr:processor_block_5_pressure_plate,"{""minecraft:dark_oak_pressure_plate"": 0.5, ""minecraft:bedrock"": 0.5}"
7,wotr:processor_block_5_fence,"{""minecraft:dark_oak_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
8,wotr:processor_block_5_fence_gate,"{""minecraft:dark_oak_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_5_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_5_door,"{""minecraft:dark_oak_door"": 0.5, ""minecraft:bedrock"": 0.25, ""minecraft:oak_door"": 0.25}"
11,wotr:processor_block_5_trapdoor,"{""minecraft:dark_oak_trapdoor"": 0.333, ""minecraft:bedrock"": 0.667}"
