Column,ProcessorType,BlockWeights
0,wotr:processor_block_1,"{""minecraft:stone"": 0.25, ""minecraft:andesite"": 0.25, ""minecraft:cobblestone"": 0.375, ""minecraft:bedrock"": 0.125}"
1,wotr:processor_block_1_directional_pillar,"{""minecraft:infested_deepslate"": 0.5, ""minecraft:bedrock"": 0.5}"
2,wotr:processor_block_1_slab,"{""minecraft:stone_slab"": 0.25, ""minecraft:andesite_slab"": 0.25, ""minecraft:cobblestone_slab"": 0.25, ""minecraft:bedrock"": 0.25}"
3,wotr:processor_block_1_stairs,"{""minecraft:stone_stairs"": 0.25, ""minecraft:andesite_stairs"": 0.25, ""minecraft:cobblestone_stairs"": 0.25, ""minecraft:bedrock"": 0.25}"
4,wotr:processor_block_1_wall,"{""minecraft:stone_brick_wall"": 0.25, ""minecraft:andesite_wall"": 0.25, ""minecraft:mossy_cobblestone_wall"": 0.25, ""minecraft:bedrock"": 0.25}"
5,wotr:processor_block_1_button,"{""minecraft:pale_oak_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
6,wotr:processor_block_1_pressure_plate,"{""minecraft:stone_pressure_plate"": 0.5, ""minecraft:bedrock"": 0.5}"
7,wotr:processor_block_1_fence,"{""minecraft:pale_oak_fence"": 0.5, ""minecraft:bedrock"": 0.5}"
8,wotr:processor_block_1_fence_gate,"{""minecraft:pale_oak_fence_gate"": 0.5, ""minecraft:bedrock"": 0.5}"
9,wotr:processor_block_1_glass_pane,"{""minecraft:iron_bars"": 0.5, ""minecraft:bedrock"": 0.5}"
10,wotr:processor_block_1_door,"{""minecraft:pale_oak_door"": 0.5, ""minecraft:bedrock"": 0.25, ""minecraft:oak_door"": 0.25}"
11,wotr:processor_block_1_trapdoor,"{""minecraft:pale_oak_trapdoor"": 0.2, ""minecraft:bedrock"": 0.8}"
