Depth,Height,Column,Block
0,0,0,wotr:processor_block_1
1,0,0,minecraft:stone
2,0,0,minecraft:andesite
3,0,0,minecraft:cobblestone
0,0,1,wotr:processor_block_1_directional_pillar
1,0,1,minecraft:polished_basalt
2,0,1,minecraft:deepslate
3,0,1,minecraft:water
4,0,1,minecraft:cobblestone
0,0,2,wotr:processor_block_1_slab
1,0,2,minecraft:stone_slab
2,0,2,minecraft:andesite_slab
3,0,2,minecraft:cobblestone_slab
0,0,3,wotr:processor_block_1_stairs
1,0,3,minecraft:stone_stairs
2,0,3,minecraft:andesite_stairs
3,0,3,minecraft:cobblestone_stairs
0,0,4,wotr:processor_block_1_wall
1,0,4,minecraft:stone_brick_wall
2,0,4,minecraft:andesite_wall
3,0,4,minecraft:mossy_cobblestone_wall
0,0,5,wotr:processor_block_1_button
1,0,5,minecraft:pale_oak_fence
0,0,6,wotr:processor_block_1_pressure_plate
1,0,6,minecraft:pale_oak_pressure_plate
0,0,7,wotr:processor_block_1_fence
1,0,7,minecraft:pale_oak_fence
0,0,8,wotr:processor_block_1_fence_gate
1,0,8,minecraft:pale_oak_fence_gate
0,0,9,wotr:processor_block_1_glass
1,0,9,minecraft:light_gray_stained_glass
0,0,10,wotr:processor_block_1_glass_pane
1,0,10,minecraft:iron_bars
0,0,11,wotr:processor_block_1_trapdoor
1,0,11,minecraft:pale_oak_trapdoor
1,1,0,minecraft:stone
2,1,0,minecraft:andesite
3,1,0,minecraft:cobblestone
3,2,0,minecraft:cobblestone
