Column,ProcessorType,BlockCounts
0,wotr:processor_block_1,"{""minecraft:stone"": 2, ""minecraft:andesite"": 2, ""minecraft:cobblestone"": 3}"
1,wotr:processor_block_1_directional_pillar,"{""minecraft:polished_basalt"": 1, ""minecraft:deepslate"": 1}"
2,wotr:processor_block_1_slab,"{""minecraft:stone_slab"": 1, ""minecraft:andesite_slab"": 1, ""minecraft:cobblestone_slab"": 1}"
3,wotr:processor_block_1_stairs,"{""minecraft:stone_stairs"": 1, ""minecraft:andesite_stairs"": 1, ""minecraft:cobblestone_stairs"": 1}"
4,wotr:processor_block_1_wall,"{""minecraft:stone_brick_wall"": 1, ""minecraft:andesite_wall"": 1, ""minecraft:mossy_cobblestone_wall"": 1}"
5,wotr:processor_block_1_button,"{""minecraft:pale_oak_fence"": 1}"
6,wotr:processor_block_1_pressure_plate,"{""minecraft:pale_oak_pressure_plate"": 1}"
7,wotr:processor_block_1_fence,"{""minecraft:pale_oak_fence"": 1}"
8,wotr:processor_block_1_fence_gate,"{""minecraft:pale_oak_fence_gate"": 1}"
9,wotr:processor_block_1_glass,"{""minecraft:light_gray_stained_glass"": 1}"
10,wotr:processor_block_1_glass_pane,"{""minecraft:iron_bars"": 1}"
11,wotr:processor_block_1_trapdoor,"{""minecraft:pale_oak_trapdoor"": 1}"
